id,name,profile_name_searchable,mbti,enneagram,personality_type,instinctual_variant,tritype,socionics,temperament,attitudinal_psyche,sloan,alignment,classic_jungian,big5_extraversion,big5_neuroticism,big5_conscientiousness,big5_agreeableness,big5_openness,functions,property_id,cat_id,category,sub_cat_id,subcategory,category_is_fictional,vote_count,vote_count_mbti,vote_count_enneagram,total_vote_counts,comment_count,watch_count,contributor,contributor_create_date,type_updated_date,is_active,is_approved,allow_voting,allow_commenting,profile_image_url,wiki_description,source_file,source_index
995455,Mireya,Mireya,XXXX 8w7,8w7,ESTP - 8w7 - ES - Neuroticism 75%,SX8,873,SLE,Choleric [Dominant],VFLE,SLUEN,Chaotic Evil,ES,Extraversion 100%,Neuroticism 75%,Conscientiousness 0%,Agreeableness 0%,Openness 25%,"Se, Ti, Fe, Ni",2,2,Television,35775,Pablo Escobar: The Drug Lord,TRUE,2,2,2,18,0,0,the nameless,2023/1/15 9:33,2024/10/31 16:00,TRUE,TRUE,TRUE,TRUE,,,pdb_v10_dump_part1.json,166
996804,Zhang Xiaofan,ZhangXiaofan,ISFJ 2w1,2w1,ISFJ - 2w1 - IF(S) - LEFV - Extraversion 25% - Agreeableness 100% - Conscientiousness 75% - Openness 0% - RLOAN - Lawful Good,sp/so,,IEI,,ELVF,RLOAN,Lawful Good,IF(S),Extraversion 25%,Neuroticism 50%,Conscientiousness 100%,Agreeableness 100%,Openness 0%,"Si, Fe, Ti, Ne",2,12,Literature,36214,Zhu Xian (ÖïÏÉ),TRUE,10,10,6,35,1,1,LuckyLunar,2023/1/15 13:47,2025/10/24 11:44,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/4d9a33df/profile_images/f8e6abea669d4947b924b99397d9f8b5.png,,pdb_v10_dump_part1.json,219
996805,Lu Xueqi,LuXueqi,ISTJ 1w9,1w9,ISTJ - 1w9 - sp/so - 136 - IT(S) - LSI - LVEF - Melancholic-Sanguine - Extraversion 25% - Agreeableness 25% - Conscientiousness 100% - Openness 25% - RCOEN - Lawful Good,sp/so,136,LSI,Melancholic-Sanguine,LVEF,RCOEN,Lawful Good,IT(S),Extraversion 25%,Neuroticism 0%,Conscientiousness 100%,Agreeableness 25%,Openness 25%,"Si, Te, Fi, Ne",2,12,Literature,36214,Zhu Xian (ÖïÏÉ),TRUE,27,27,11,80,3,13,LuckyLunar,2023/1/15 13:47,2025/10/24 12:38,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/2eb47f5b/profile_images/33b78f6294014b9ab094e930c3dc421c.png,,pdb_v10_dump_part1.json,221
996806,Biyao,Biyao,ESFP 7w8,7w8,ESFP - 7w8 - 748 - ES(F) - SEE - Agreeableness 75% - Conscientiousness 0% - Openness 75% - SCUAI - Chaotic Good,so/sx,748,SEE,,EFLV,SCUAI,Chaotic Good,EN(F),Extraversion 75%,Neuroticism 25%,Conscientiousness 0%,Agreeableness 75%,Openness 75%,"Se, Fi, Te, Ni",2,12,Literature,36214,Zhu Xian (ÖïÏÉ),TRUE,14,14,9,45,1,3,LuckyLunar,2023/1/15 13:47,2025/10/24 11:46,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/b2d15636/profile_images/5a3aaac107f84514ba884e5c0403f9b9.png,,pdb_v10_dump_part1.json,222
998813,Fabio Urrea,Fabio Urrea,XXXX 8w7,8w7,ESFP - 8w7 - SLUEN,sx/sp,862,SEE,Choleric [Dominant],VFLE,SLUEN,Chaotic Evil,ES,Extraversion 100%,Neuroticism 75%,Conscientiousness 0%,Agreeableness 0%,Openness 25%,"Se, Fi, Te, Ni",2,2,Television,35775,Pablo Escobar: The Drug Lord,TRUE,4,4,3,26,0,0,Aquarella,2023/1/15 18:43,2025/1/31 15:22,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/6866ee9e/profile_images/0f3c8d4451e14238871aa53df94b0cfd.png,,pdb_v10_dump_part1.json,299
998921,Marcos Herber,Marcos Herber,ESTP 8w7,8w7,ESTP - 8w7 - 873 - SLE - Extraversion 100% - Agreeableness 0%,sx/so,873,SLE,Choleric [Dominant],VFLE,SLUEI,Chaotic Evil,ES,Extraversion 100%,Neuroticism 75%,Conscientiousness 0%,Agreeableness 0%,Openness 25%,"Se, Ti, Fe, Ni",2,2,Television,35775,Pablo Escobar: The Drug Lord,TRUE,3,3,2,26,0,0,Aquarella,2023/1/15 18:58,2024/10/31 16:08,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/e8ae2cd3/profile_images/78a5028ec8f14da8b1531cd210d204b6.png,,pdb_v10_dump_part1.json,304
999395,Ramon Prado,Ramon Prado,ESTP 6w5,6w5,ESTP - 6w5 - 684 - SLE - LFVE - Choleric-Melancholic - Extraversion 75% - Neuroticism 75% - Openness 25% - RLUEN - Chaotic Neutral,sx/so,684,SLE,Choleric-Melancholic,LFVE,RLUEN,Chaotic Neutral,ES(T),Extraversion 75%,Neuroticism 75%,Conscientiousness 25%,Agreeableness 25%,Openness 25%,"Se, Ti, Fe, Ni",2,2,Television,234,Dexter (2006),TRUE,28,28,16,117,5,9,JymE,2023/1/15 20:03,2025/11/2 12:36,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/619575e6/profile_images/0e8300385f624f03b294565f5670c0ac.png,,pdb_v10_dump_part1.json,317
999407,Anton Briggs,Anton Briggs,ESFP 9w8,9w8,ESFP - 9w8 - so/sp - 974 - ES(F) - Phlegmatic-Sanguine - Extraversion 100% - Agreeableness 75% - Conscientiousness 0% - SCUAN - Neutral Good,so/sp,974,ESE,Phlegmatic-Sanguine,FEVL,SCUAN,Neutral Good,ES(F),Extraversion 100%,Neuroticism 25%,Conscientiousness 0%,Agreeableness 75%,Openness 75%,"Se, Fi, Te, Ni",2,2,Television,234,Dexter (2006),TRUE,28,28,19,90,2,7,JymE,2023/1/15 20:05,2025/10/7 19:23,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/d839ae7c/profile_images/4ee3a41cd0c34dc5a1b4e4dafd371a3b.png,,pdb_v10_dump_part1.json,319
1000351,Kayleigh G¨®rska,Tea,INFP 4w5,4w5,INFP - 4w5 - so/sx - 469 - IF(N) - EII - ELVF - Melancholic [Dominant] - Extraversion 0% - Neuroticism 75% - Agreeableness 50% - Conscientiousness 25% - Openness 75% - RLUEI - True Neutral,so/sx,469,EII,Melancholic [Dominant],ELVF,RLUEI,True Neutral,IF(N),Extraversion 0%,Neuroticism 100%,Conscientiousness 25%,Agreeableness 50%,Openness 75%,"Fi, Ne, Si, Te",2,12,Literature,36224,FT,TRUE,11,11,12,76,21,83,the nameless,2023/1/15 22:10,2025/9/2 22:02,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/65c7d6e9/profile_images/6e810f4df2d240cfaf4f28a32df9755b.png,"Kayleigh is very quiet and shy, but don't be fooled, she is no where near the shy girl stereotype. Kayleigh acts spoiled and is a prima donna, but it's only because of her insecurity for having such little friends compared to her twin sister, Bella. Her only two friends, Bill and Chlo?, seem to become uninterested in her, and she has a melt down and completely loses touch with them which makes her become depressed.",pdb_v10_dump_part1.json,348
1000352,Bill "Brit Boogeyman" Walker,Springtrap,ENTJ 1w2,1w2,ENTJ - 1w2 - sx/so - 153 - LIE - LVFE - Choleric [Dominant] - Extraversion 25% - Agreeableness 0% - Conscientiousness 100% - Openness 25% - RCOEN - Neutral Evil,sx/so,153,LIE,Choleric [Dominant],LFVE,RCOEN,Neutral Evil,ET(N),Extraversion 25%,Neuroticism 25%,Conscientiousness 100%,Agreeableness 0%,Openness 25%,"Te, Ni, Se, Fi",2,12,Literature,36224,FT,TRUE,11,11,13,74,7,82,the nameless,2023/1/15 22:10,2025/8/21 20:28,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/ff576034/profile_images/e87cd810aafc4af4b5dd471a490069cf.png,"Assertive, straightforward, and even bossy, he is a genius to a serial killer He is enemies with Samuel. He is from the United Kingdom ????.",pdb_v10_dump_part1.json,350
