id,name,profile_name_searchable,mbti,enneagram,personality_type,instinctual_variant,tritype,socionics,temperament,attitudinal_psyche,sloan,alignment,classic_jungian,big5_extraversion,big5_neuroticism,big5_conscientiousness,big5_agreeableness,big5_openness,functions,property_id,cat_id,category,sub_cat_id,subcategory,category_is_fictional,vote_count,vote_count_mbti,vote_count_enneagram,total_vote_counts,comment_count,watch_count,contributor,contributor_create_date,type_updated_date,is_active,is_approved,allow_voting,allow_commenting,profile_image_url,wiki_description,source_file,source_index,length_of_description,,,,,,,,,,,,,,,,,,,,,,,,
1777,Rachel Berry,rachelberry,ENFJ 3w4,3w4,ENFJ - 3w4 - so/sx - 316 - EF(N) - EIE - VEFL - Choleric-Sanguine - Extraversion 75% - Neuroticism 50% - Agreeableness 25% - Conscientiousness 75% - Openness 75% - SLOEI - Lawful Neutral,so/sx,316,EIE,Choleric-Melancholic,VEFL,SLOEI,Lawful Neutral,EF(N),Extraversion 75%,Neuroticism 50%,Conscientiousness 75%,Agreeableness 25%,Openness 75%,"Fe, Ni, Se, Ti",2,2,Television,225,Glee (2009),TRUE,688,688,377,1645,283,480,Evelina penguin,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/a4bcc184/profile_images/e55f75b854be4cd291989aaa6445ba2a.png,"Rachel Barbra Berry is the main character on Glee. She is a Tony award-winning musical theatre actress. She graduated from the New York Academy of the Dramatic Arts (NYADA), after getting a second chance at her degree, following her decision to drop out in Bash, She is an alumna of William McKinley High School as of Goodbye. She was the first-ever captain of the school's Glee Club, the New Directions, having later recruited Finn Hudson as a co-captain in Mattress. She was one of the three major self-proclaimed divas of the club: the others being two of her closest friends, Kurt Hummel and Mercedes Jones. Rachel is a very driven and ambitious young woman. She was raised by her two gay fathers, LeRoy and Hiram Berry, but she was able to meet her biological mother Shelby Corcoran, the former coach of Vocal Adrenaline in Theatricality, due to the efforts of her now-husband, Jesse St. James. Rachel is very competitive but works harder than anyone else. #LeaMichele",pdb_v9_dump_part2.json,646,973,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Dick Grayson ""Nightwing""","dickgrayson""nightwing""",ENFJ 6w7,6w7,ENFJ - 6w7 - so/sx - 612 - EF(N) - EIE - EVLF - Sanguine [Dominant] - Extraversion 75% - Neuroticism 25% - Agreeableness 75% - Conscientiousness 50% - SCOAI - Neutral Good,so/sx,612,EIE,Sanguine [Dominant],EVLF,SCOAI,Neutral Good,EF(N),Extraversion 75%,Neuroticism 25%,Conscientiousness 50%,Agreeableness 75%,Openness 75%,"Fe, Ni, Se, Ti",2,27,Superheroes,254,DC Comics,TRUE,682,682,284,1520,279,3864,the nameless,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/c72c8f48/profile_images/e0f64c30c54945b6ae090cfaa3f6084e.png,"Richard John Grayson is a fictional superhero appearing in American comic books published by DC Comics, commonly in association with Batman. Created by writer Bill Finger and artist Bob Kane, he first appeared in Detective Comics #38 in April 1940 as the original incarnation of Robin. In Tales of the Teen Titans #44 (July 1984) the character retires his role as Robin and assumes the superhero persona of Nightwing, created by Marv Wolfman and artist George Pérez. Batman’s work to prevent young Dick Grayson from being consumed by vengeance was a success: Nightwing is surprisingly light-hearted and well-adjusted. Though he has his bouts of intensity and stubborn determination, Nightwing retains the sense of humor he exercised when he was Robin. He’s a natural leader with a good understanding of what motivates people.",pdb_v9_dump_part2.json,906,825,,,,,,,,,,,,,,,,,,,,,,,,
802,"Wanda Maximoff ""Scarlet Witch""",wandamaximoff“scarletwitch�?INFP 4w5,4w5,INFP - 4w5 - sx/sp - 496 - IF(N) - IEI - ELVF - Melancholic [Dominant] - Extraversion 25% - Neuroticism 100% - Agreeableness 50% - Conscientiousness 50% - Openness 75% - RLUEI - Chaotic Neutral,sx/sp,496,IEI,Melancholic [Dominant],ELVF,RLUEI,Chaotic Neutral,IF(N),Extraversion 25%,Neuroticism 100%,Conscientiousness 50%,Agreeableness 50%,Openness 75%,"Fi, Ne, Si, Te",2,27,Superheroes,39,MCU: The Heroes,TRUE,2735,2735,1738,6634,1350,12967,Kicking Lettuce,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/937e0add/profile_images/d25f18fa6dcf4faf8f7ec14a9916b299.png,"Wanda Maximoff is a young woman whose parents were killed in an explosion in her homeland of Sokovia. She herself would have perished if not for the fact that the second shell which hit her home did not go off. Forced to stare at the unexploded shell for two days, the words written on it burnt in her mind who would be held responsible for her tragedy: Stark Industries and the man behind it, Tony Stark. Years later, she and her brother Pietro subjected themselves to the experiments of HYDRA leader Wolfgang von Strucker who, through the power contained within Loki's staff, enhanced the twins and gave Wanda her magical powers of telekinesis and mental manipulation. After Pietro's death at the hands of Ultron, who the twins briefly joined forces with to fight the Avengers, she ended up joining the Avengers and falling in love with the synthezoid known as Vision, powered by the Mind Stone that gave Wanda her abilities. After a few tragedies resulting from the Infinity War and her own grief, Wanda unleashed her chaos magic and embraced a new persona, the Scarlet Witch.",pdb_v9_dump_part1.json,581,1079,,,,,,,,,,,,,,,,,,,,,,,,,
2644,Robin,robin,ISTJ 6w5,6w5,ISTJ - 6w5 - so/sp - 613 - IT(S) - LSI - LFVE - Phlegmatic-Choleric - Extraversion 25% - Neuroticism 50% - Agreeableness 50% - Conscientiousness 100% - Openness 50% - RLOAN - Lawful Good,so/sp,613,LSI,Phlegmatic-Choleric,LFVE,RLOAN,Lawful Good,IT(S),Extraversion 25%,Neuroticism 50%,Conscientiousness 100%,Agreeableness 50%,Openness 50%,"Si, Te, Fi, Ne",2,27,Superheroes,336,Teen Titans (2003),TRUE,699,699,360,1733,158,30349,Joshua Arrona,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/f1d5ba75/profile_images/7c4e75ca1e964b34a3e06f931d93621c.png,"Robin is The Leader of the team. Trained by Batman, he manages to keep on an even keel with a team of metahumans through his intelligence, tactical skills, martial arts prowess and, when it all boils down to basics, enough pure crazy to frighten the four of them if he really cuts loose. Robin left his position as Batman's sidekick and moved all the way to Jump City to start working solo, only to end up taking charge of the Teen Titans on his first night there and deciding, afterwards, that heading a team might not be so bad after all. Robin is, at heart, a fairly normal teenager, enjoying hanging out and chilling as much as his comrades do. However, he's Batman's ex-sidekick, and this means he shares his mentor's fixation on discipline and hard work, which can put him at odds with his more relaxed teammates. He's also got issues of his own, namely a tendency to fixate on problems to such an extent that he stops paying attention to anything but ""the mission"", which has damaged his friendships on more than one occasion. Despite this, he is loyal to his team and takes threats against them seriously indeed.",pdb_v9_dump_part3.json,833,1120,,,,,,,,,,,,,,,,,,,,,,,,
8583,Duncan,duncan,ESTP 8w7,8w7,ESTP - 8w7 - sx/sp - 874 - ES(T) - SLE - VFEL - Choleric-Sanguine - Extraversion 75% - Neuroticism 50% - Agreeableness 25% - Conscientiousness 25% - Openness 25% - SCUEN - Chaotic Neutral,sx/sp,874,SLE,Choleric-Sanguine,VFEL,SCUEN,Chaotic Neutral,ES(T),Extraversion 75%,Neuroticism 50%,Conscientiousness 25%,Agreeableness 25%,Openness 25%,"Se, Ti, Fe, Ni",2,7,Cartoons,996,Total Drama (2007),TRUE,758,758,574,2318,429,1470,the nameless,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/58dacf26/profile_images/b7b67cc33f744071bade67e46ce718de.png,"Duncan is the definition of a bad boy, being a crafty, cool juvenile delinquent who comes from a long line of policemen and policewomen: his dad, mom, uncle, aunt, grandma and cousins are all cops. He knows many tactics from his time spent in juvenile detention centers. He can carve a picture of a skull into a tree trunk and lift great amounts of weight (such as Owen, who is more than three times his size). He has a brooding, obnoxious, sarcastic and flirtatious personality. Duncan loves to break rules to better suit himself, but sometimes the consequences are worse than what he intended. Duncan also loves to make fun of the other contestants and pull several pranks on them, with Harold being his main victim. He considers himself as being ""straight with people"", rarely pretending to be what he isn't. As a result, he has been shown to either get along with or make fierce enemies with his fellow competitors, although it is more than often the latter.",pdb_v9_dump_part9.json,52,962,,,,,,,,,,,,,,,,,,,,,,,,
2874,Red Hood,"jasontodd""redhood""",ISTP 6w5,6w5,ISTP - 6w5 - sx/sp - 684 - IT(S) - SLE - VFLE - Melancholic-Choleric - Extraversion 50% - Neuroticism 75% - Agreeableness 25% - Conscientiousness 50% - Openness 50% - RLOEI - Chaotic Neutral,sx/sp,684,SLE,Melancholic-Choleric,VFLE,RLOEI,Chaotic Neutral,IT(S),Extraversion 50%,Neuroticism 75%,Conscientiousness 50%,Agreeableness 25%,Openness 50%,"Ti, Se, Ni, Fe",2,27,Superheroes,254,DC Comics,TRUE,819,819,545,2342,361,3575,Samael Enfer,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/3823f200/profile_images/9eccb49128d6463e8acf3c5b9684e773.png,"Jason Peter Todd is a fictional character appearing in American comic books published by DC Comics. First appearing in Batman #357 in March 1983, he was created to succeed Dick Grayson as Robin, Batman's vigilante partner and sidekick. Initially sharing a similar origin to Grayson, his character was rewritten after the Crisis on Infinite Earths event. Orphaned as a child, Jason Todd grew up on the streets of Gotham City until Batman caught him trying to steal the hub-caps off the Batmobile. Taking him in, Batman trained Todd to become the next Robin as part of the Dynamic Duo—until Robin was beaten to death by the Joker. Resurrected by ripples in time that rewrote history, Todd crawled out of the grave and was eventually brought back to full health by the League of Assassins and a Lazarus Pit. After training in all the lethal methods Batman will not use, Todd returned to Gotham City and took on the name of one of Batman’s first foes: the Red Hood. When the new Red Hood ignited a war among Gotham’s gangs he was confronted by Batman, who prevented him from killing the Joker. Later, when a former Robin became the new Batman, the Red Hood returned and the two former sidekicks fought on opposite sides of the law. The Red Hood considers himself a hero, but his willingness to meet criminals�?violence with deadly force means the rest of the world considers him a villain. Unlike other heroes, for whom war on crime is a catharsis, the Red Hood dives into combat as an outlet for his consuming rage.",pdb_v9_dump_part3.json,431,1512,,,,,,,,,,,,,,,,,,,,,,,,
720,"Sirius ""Padfoot"" Black",siriusblack,ESTP 7w8,7w8,ESTP - 7w8 - sx/so - 783 - ES(F) - SEE - VFLE - Sanguine-Choleric - Extraversion 75% - Neuroticism 75% - Agreeableness 50% - Conscientiousness 25% - Openness 100% - SCUAN - Chaotic Good,sx/so,783,SEE,Sanguine-Choleric,VFLE,SCUAN,Chaotic Good,ES(F),Extraversion 75%,Neuroticism 75%,Conscientiousness 25%,Agreeableness 50%,Openness 100%,"Se, Ti, Fe, Ni",2,3,Movies,87,Harry Potter (Film Series),TRUE,3509,3509,695,3537,347,3648,Cameron Lusk,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/63af4c8d/profile_images/9005849abd7e4875885473b80d5c6565.png,"Sirius Black III (3 November, 1959�?8 June, 1996), also known as Padfoot or Snuffles (in his Animagus form), was an English pure-blood wizard, the older son of Orion and Walburga Black, the brother of Regulus Black, and godfather of Harry Potter. Although he was the heir of the House of Black, Sirius disagreed with his family's belief in blood purity and defied tradition when he was Sorted into Gryffindor House instead of Slytherin at Hogwarts School of Witchcraft and Wizardry, which he attended from 1971 to 1978. As the rest of his family had been in Slytherin, he was the odd one out. Sirius was true to the ideal of a Gryffindor student. He was true-hearted and brave, as shown by his participation in both wars and willingness to die for those he loved. He was particularly loyal to his best friend, James Potter, a fellow Gryffindor. In his youth, he was a witty and talented wizard, but also quite an arrogant and mischievous troublemaker, and sometimes, a bully.",pdb_v9_dump_part1.json,471,975,,,,,,,,,,,,,,,,,,,,,,,,
717,Luna Lovegood,lunalovegood,INFP 9w1,9w1,INFP - 9w1 - sx/sp - 945 - IN(F) - IEI - LEFV - Phlegmatic [Dominant] - Extraversion 25% - Neuroticism 0% - Agreeableness 100% - Conscientiousness 25% - Openness 100% - RCUAI - Neutral Good,sx/sp,945,IEI,Phlegmatic [Dominant],LEFV,RCUAI,Neutral Good,IN(F),Extraversion 25%,Neuroticism 0%,Conscientiousness 25%,Agreeableness 100%,Openness 100%,"Fi, Ne, Si, Te",2,3,Movies,87,Harry Potter (Film Series),TRUE,4323,4323,2045,9573,2390,13922,Cameron Lusk,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/1f55833e/profile_images/74c099ece9a34921a823d1a7d66b0871.png,"Luna Lovegood is a Ravenclaw student one year younger than Harry (Portrayed by #EvannaLynch). She is described as having straggly waist-length dirty blond hair, grey eyes and a ""permanently surprised look"". Rowling has often said that Luna is the ""anti-Hermione"", as Hermione is ""inflexible and logical,"" as opposed to Luna, who would ""believe 10 impossible things before breakfast."" Her father, Xenophilius Lovegood, is the editor-in-chief of The Quibbler, a strange magazine claiming supposedly untrue things Luna and her father believe. When Luna was 9 years old, her mother, Pandora, died while performing a spell experiment, the particular one having gone, as Luna stated, ""horribly wrong"". Luna is socially isolated at school, and is given the nickname ""Loony"" Lovegood for her bizarre personality, but she appears to have the rare quality of caring little about what others think of her, although she sometimes gets incensed when her beliefs are challenged.",pdb_v9_dump_part1.json,478,964,,,,,,,,,,,,,,,,,,,,,,,,
3801,"William ""Will"" Byers",willbyers,INFP 9w1,9w1,INFP - 9w1 - sp/so - 946 - IF(N) - EII - LEFV - Melancholic-Phlegmatic - Extraversion 25% - Neuroticism 75% - Agreeableness 75% - Conscientiousness 50% - Openness 75% - RLUAI - Neutral Good,sp/so,946,EII,Melancholic-Phlegmatic,ELVF,RLUAI,Neutral Good,IF(N),Extraversion 25%,Neuroticism 75%,Conscientiousness 50%,Agreeableness 75%,Openness 75%,"Fi, Ne, Si, Te",2,2,Television,456,Stranger Things (2016),TRUE,2557,2557,1493,6825,1165,9939,Jacob,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/73334de5/profile_images/8b6d3bfc8fe740f2ba9935bce75c1ed0.png,"William ""Will"" Byers (portrayed by #Noah Schnapp) was a shy, smart, artistic boy from Hawkins, Indiana who loved to play Dungeons & Dragons with his three best-friends, Mike, Lucas and Dustin. However, Will's life, and that of Hawkins in its entirety, turned upside-down on November 6, 1983; on the way home from his friends' latest D&D campaign, Will crossed paths with an alien, otherworldly humanoid predator. Despite his best efforts to evade it, the creature trapped Will in an alternate dimension; a dark reflection of Hawkins covered in vines, spores, and fog known as the Upside Down. Eventually escaping the dark dimension, Will would rejoin the group as well as befriend recent addition to the party, and psychic, Eleven. Yet, Will's connection to the forces of the Upside Down were far from severed. In the group's D&D games, Will is the resident party wizard and occasional cleric. #GOAT",pdb_v9_dump_part4.json,338,899,,,,,,,,,,,,,,,,,,,,,,,,
56610,Tom Wambsgans,tomwambsgans,ESFJ 2w3,2w3,ESFJ - 2w3 - so/sx - 369 - EF(S) - ESE - FEVL - Sanguine-Phlegmatic - Extraversion 75% - Agreeableness 75% - Conscientiousness 75% - Openness 25% - SLOAN - True Neutral,so/sx,369,ESE,Sanguine-Phlegmatic,FEVL,SLOAN,True Neutral,EF(S),Extraversion 75%,Neuroticism 50%,Conscientiousness 75%,Agreeableness 75%,Openness 25%,"Fe, Si, Ne, Ti",2,2,Television,4966,Succession (2018),TRUE,305,305,241,1012,146,331,lordy,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/18591b23/profile_images/de6dccd8ab83471f96c8c2229183e46d.png,"“You can't make a Tomlette without breaking some Greggs."" —————————————————————————�?“I give the customer what he wants. I don’t think it’s my place to offer dietary advice, if they want red meat and boiled tar then Bon Appetito.�?—————————————————————————�?“I’m a grinder. I grind because I worry. I worry all night about everything - all the threats to me and to my division and my physical body. And I have an excess of vigilance, I think, and I have a very high tolerance for pain and physical discomfort.�?—————————————————————————�?“I really love my career and my money, the suits and my watches. I like nice things. And if you think that’s shallow why don’t you throw out all of your stuff for love?�?—————————————————————————�?“Information is like a bottle of fine wine. You store it, you hoard it, you save it for a special occasion. And then you smash someone’s f****ng face in with it.�?,pdb_v9_dump_part50.json,19,897
8592,Lindsay,lindsay,ESFJ 2w3,2w3,ESFJ - 2w3 - sp/so - 279 - EF(S) - ESE - FELV - Sanguine-Phlegmatic - Extraversion 100% - Agreeableness 100% - Conscientiousness 25% - Openness 25% - SCUAN - Neutral Good,sp/so,279,ESE,Sanguine-Phlegmatic,FELV,SCUAN,Neutral Good,EF(S),Extraversion 100%,Neuroticism 25%,Conscientiousness 25%,Agreeableness 100%,Openness 25%,Fe", Si, Ne," Ti""",2,7,Cartoons,996,Total Drama (2007),TRUE,565,565,351,1749,289,845,the nameless,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/c283ca17/profile_images/f4da40858c73469887295361f3dfe544.png,"Lindsay's big heart and childlike nature made her one of the most well-liked competitors on the show. Although the other contestants are frequently annoyed by her severe lack of intelligence, Lindsay has been shown to only have pure intentions. A major running gag on the show involves her being frequently unsuccessful at remembering the name of others, even if that person is her boyfriend. At times, she goes beyond the expectation of her peers and demonstrates that she has the ability to solve problems, and likes to be called ""Her Hotness"" as she does so. She shows herself to be the unlucky loser of sorts, and hates to be underestimated by her peers, resulting in her becoming a people-pleaser in attempts to defeat them and prove herself. Unfortunately for Lindsay, due to her naive and gullible nature, she is often fooled by false-friendships and easily manipulated by the show's antagonists.",pdb_v9_dump_part9.json,411,903
