id,name,profile_name_searchable,mbti,enneagram,personality_type,instinctual_variant,tritype,socionics,temperament,attitudinal_psyche,sloan,alignment,classic_jungian,big5_extraversion,big5_neuroticism,big5_conscientiousness,big5_agreeableness,big5_openness,functions,property_id,cat_id,category,sub_cat_id,subcategory,category_is_fictional,vote_count,vote_count_mbti,vote_count_enneagram,total_vote_counts,comment_count,watch_count,contributor,contributor_create_date,type_updated_date,is_active,is_approved,allow_voting,allow_commenting,profile_image_url,wiki_description,source_file,source_index,length_of_description
42183,Robin Buckley,robinbuckley,INTP 7w6,7w6,INTP - 7w6 - sx/sp - 794 - EN(T) - ILE - FLEV - Phlegmatic-Sanguine - Extraversion 50% - Neuroticism 50% - Agreeableness 50% - Conscientiousness 50% - Openness 100% - SLUAI - Chaotic Good,sx/sp,794,ILE,Phlegmatic-Sanguine,FLEV,SLUAI,Chaotic Good,EN(T),Extraversion 50%,Neuroticism 50%,Conscientiousness 50%,Agreeableness 50%,Openness 100%,"Ti, Ne, Si, Fe",2,2,Television,456,Stranger Things (2016),TRUE,8354,8354,1982,9918,2035,9680,rhaeys,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/5aa36c8f/profile_images/1360054c84764d52bbc5cee2fecbce3c.png,"Robin Buckley (portrayed by #MayaHawke) is an ""alternative"" girl who works alongside Steve at Scoops Ahoy, the Starcourt Mall ice cream parlor, and introduced in the third season. Robin is sarcastic and bored with her job and teases Steve about his inability to flirt with girls (though she isn't much better), but she is able to decode the Russian radio message and finds the base along with Steve, Dustin, and Erica. She is also fluent in four languages, which are English, Spanish, French and Italian. She also speaks Pig Latin. Robin has been in a band for 12 years, and is part of the Scoops Troop. While initially stating that she was obsessed with Steve in high school, the influence of truth serum reveals that she actually pined for the attention of one of Steve's many admirers, revealing she is a lesbian.",pdb_v9_dump_part38.json,392,816
197266,"Elizabeth ""Beth"" Harmon",elizabethbethharmon,INTJ 5w6,5w6,INTJ - 5w6 - sp/sx - 531 - IN(T) - ILI - LVFE - Melancholic-Choleric - Extraversion 25% - Neuroticism 50% - Agreeableness 50% - Conscientiousness 75% - Openness 75% - RLOEI - True Neutral,sp/sx,531,ILI,Melancholic-Choleric,LVFE,RLOEI,True Neutral,IN(T),Extraversion 25%,Neuroticism 50%,Conscientiousness 75%,Agreeableness 50%,Openness 75%,"Ni, Te, Fi, Se",2,2,Television,12855,The Queen’s Gambit (2020),TRUE,3616,3616,2136,9909,1369,8980,Khazar,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/d2ef1d35/profile_images/4168af67209f4bf3bfbc1f984d2c6008.png,"Elizabeth ""Beth"" Harmon is a chess prodigy and the main character in the Netflix miniseries, The Queen's Gambit. Orphaned at a young age and scarred from Methuen Home's mistreatment, she is depicted as someone with immense anger and passion, which fuels her chess proficiency—and her susceptibility to substance addiction. While she accepts herself as someone who breaks gender norms, Harmon has expressed irritation with being renowned solely because of her gender. She experiences difficulty forming relationships with others that are not based on chess because of this. In addition to chess, Harmon maintains skills in mathematics, sciences, and history. Over the course of five years, she acquires a knowledge of Russian, which allows her to eavesdrop on gossip by people who assume she cannot. Harmon is played predominantly by #AnyaTaylorJoy, and she is played by #AnnabethKelly as a five-year-old and Isla Johnston for other younger scenes.",pdb_v9_dump_part161.json,451,947
717,Luna Lovegood,lunalovegood,INFP 9w1,9w1,INFP - 9w1 - sx/sp - 945 - IN(F) - IEI - LEFV - Phlegmatic [Dominant] - Extraversion 25% - Neuroticism 0% - Agreeableness 100% - Conscientiousness 25% - Openness 100% - RCUAI - Neutral Good,sx/sp,945,IEI,Phlegmatic [Dominant],LEFV,RCUAI,Neutral Good,IN(F),Extraversion 25%,Neuroticism 0%,Conscientiousness 25%,Agreeableness 100%,Openness 100%,"Fi, Ne, Si, Te",2,3,Movies,87,Harry Potter (Film Series),TRUE,4323,4323,2045,9573,2390,13922,Cameron Lusk,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/1f55833e/profile_images/74c099ece9a34921a823d1a7d66b0871.png,"Luna Lovegood is a Ravenclaw student one year younger than Harry (Portrayed by #EvannaLynch). She is described as having straggly waist-length dirty blond hair, grey eyes and a ""permanently surprised look"". Rowling has often said that Luna is the ""anti-Hermione"", as Hermione is ""inflexible and logical,"" as opposed to Luna, who would ""believe 10 impossible things before breakfast."" Her father, Xenophilius Lovegood, is the editor-in-chief of The Quibbler, a strange magazine claiming supposedly untrue things Luna and her father believe. When Luna was 9 years old, her mother, Pandora, died while performing a spell experiment, the particular one having gone, as Luna stated, ""horribly wrong"". Luna is socially isolated at school, and is given the nickname ""Loony"" Lovegood for her bizarre personality, but she appears to have the rare quality of caring little about what others think of her, although she sometimes gets incensed when her beliefs are challenged.",pdb_v9_dump_part1.json,478,964
404557,Bruno Madrigal,brunomadrigal,INFJ 6w5,6w5,INFJ - 6w5 - sp/so - 649 - IN(F) - EII - ELVF - Melancholic [Dominant] - Extraversion 25% - Neuroticism 75% - Agreeableness 75% - Conscientiousness 50% - Openness 100% - RLUAI - Neutral Good,sp/so,649,EII,Melancholic [Dominant],ELVF,RLUAI,Neutral Good,IN(F),Extraversion 25%,Neuroticism 75%,Conscientiousness 50%,Agreeableness 75%,Openness 100%,"Ni, Fe, Ti, Se",2,3,Movies,14032,Encanto (2021),TRUE,6596,6596,1623,9189,1898,28400,afilmbee,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/64e4fa35/profile_images/2c15efe391404037be7c842fd13f6c58.png,"Bruno Madrigal is a major character in Disney's 2021 animated feature film, Encanto. He is the only son and youngest child of the triplet to Alma “Abuela” Madrigal, with the gift to see into the future. Bruno's odd demeanor, affinity for rats, and often doomsaying visions had distinguished him as the ""black sheep"" of the Madrigals, resulting in his estrangement from the family. Following his disappearance, it became taboo to mention Bruno, who was reviled as a villainous figure by the townsfolk until his deep-rooted love for his family was unearthed. Source: https://disney.fandom.com/wiki/Bruno_Madrigal",pdb_v9_dump_part329.json,908,610
708,Harry Potter,harrypotter,ISFP 9w8,9w8,ISFP - 9w8 - sp/sx - 964 - IF(S) - ESI - FVEL - Phlegmatic-Choleric - Extraversion 50% - Neuroticism 75% - Agreeableness 75% - Conscientiousness 25% - Openness 50% - RLUAN - Neutral Good,sp/sx,964,ESI,Phlegmatic-Choleric,FVEL,RLUAN,Neutral Good,IF(S),Extraversion 50%,Neuroticism 75%,Conscientiousness 25%,Agreeableness 75%,Openness 50%,"Fi, Se, Ni, Te",2,3,Movies,87,Harry Potter (Film Series),TRUE,3179,3179,1586,7147,1067,159337,Cameron Lusk,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/c2b8867a/profile_images/1e7e6fac3bda49a38e1844b730345f4a.png,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. He was the only child and son of James and Lily Potter both members of the original Order of the Phoenix. Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding. Voldemort made his first vain attempt to circumvent the prophecy when Harry was a year and three months old. During this attempt, he murdered Harry's parents as they tried to protect him, but this unsuccessful attempt to kill Harry led to Voldemort's first downfall. This downfall marked the end of the First Wizarding War, and to Harry henceforth being known as the ""Boy Who Lived."" #DanielRadcliffe",pdb_v9_dump_part1.json,803,992
1840,Dexter Morgan,dextermorgan,INTJ 1w9,1w9,INTJ - 1w9 - SO6 - 613 - IT(S) - LSI - LFVE - Melancholic-Phlegmatic - Extraversion 25% - Neuroticism 50% - Agreeableness 50% - Conscientiousness 100% - Openness 50% - RCOEI - Lawful Evil,SO6,613,LSI,Melancholic-Phlegmatic,LFVE,RCOEI,Lawful Evil,IT(S),Extraversion 25%,Neuroticism 50%,Conscientiousness 100%,Agreeableness 50%,Openness 50%,"Ni, Te, Fi, Se",2,2,Television,234,Dexter (2006),TRUE,6895,6895,1104,6979,1307,8516,Cameron Lusk,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/b294f85c/profile_images/ac458a8ebd7347e69fb296be5b81729c.png,"Dexter Morgan is the titular antihero protagonist of both the Showtime series DEXTER and the Dexter Novels. He is an elusive serial killer in Miami, known as ""The Bay Harbor Butcher,"" who targets and kills other murderers. His detailed method of killing allows him to avoid the justice system by getting rid of any potential evidence. The irony of Dexter's life is that he works closely and affably with homicide detectives and a forensic specialist. Dexter, himself a blood spatter analyst, collects, processes, and interprets evidence for the Miami Metro Police Department. He often uses his ability to access police databases or tamper with evidence for his personal advantage. By survival, Dexter is the most successful serial killer in the series.",pdb_v9_dump_part2.json,708,752
3801,"William ""Will"" Byers",willbyers,INFP 9w1,9w1,INFP - 9w1 - sp/so - 946 - IF(N) - EII - LEFV - Melancholic-Phlegmatic - Extraversion 25% - Neuroticism 75% - Agreeableness 75% - Conscientiousness 50% - Openness 75% - RLUAI - Neutral Good,sp/so,946,EII,Melancholic-Phlegmatic,ELVF,RLUAI,Neutral Good,IF(N),Extraversion 25%,Neuroticism 75%,Conscientiousness 50%,Agreeableness 75%,Openness 75%,"Fi, Ne, Si, Te",2,2,Television,456,Stranger Things (2016),TRUE,2557,2557,1493,6825,1165,9939,Jacob,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/73334de5/profile_images/8b6d3bfc8fe740f2ba9935bce75c1ed0.png,"William ""Will"" Byers (portrayed by #Noah Schnapp) was a shy, smart, artistic boy from Hawkins, Indiana who loved to play Dungeons & Dragons with his three best-friends, Mike, Lucas and Dustin. However, Will's life, and that of Hawkins in its entirety, turned upside-down on November 6, 1983; on the way home from his friends' latest D&D campaign, Will crossed paths with an alien, otherworldly humanoid predator. Despite his best efforts to evade it, the creature trapped Will in an alternate dimension; a dark reflection of Hawkins covered in vines, spores, and fog known as the Upside Down. Eventually escaping the dark dimension, Will would rejoin the group as well as befriend recent addition to the party, and psychic, Eleven. Yet, Will's connection to the forces of the Upside Down were far from severed. In the group's D&D games, Will is the resident party wizard and occasional cleric. #GOAT",pdb_v9_dump_part4.json,338,899
825,Rapunzel,rapunzel,ENFP 7w6,7w6,ENFP - 7w6 - sx/so - 729 - EN(F) - IEE - EVLF - Sanguine [Dominant] - Extraversion 100% - Neuroticism 50% - Agreeableness 100% - Conscientiousness 25% - Openness 100% - SLUAI - Neutral Good,sx/so,729,IEE,Sanguine [Dominant],EVLF,SLUAI,Neutral Good,EN(F),Extraversion 100%,Neuroticism 50%,Conscientiousness 25%,Agreeableness 100%,Openness 100%,"Ne, Fi, Te, Si",2,3,Movies,306,Tangled (2010),TRUE,2683,2683,1461,6447,1351,70721,the nameless,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/a9d3944d/profile_images/78bfd25924a84fc295d2dad63711f551.png,"Rapunzel is the protagonist of Disney's 2010 animated feature film Tangled. She is the princess of the kingdom of Corona, known for her long, magical, golden hair. As a baby, Rapunzel was abducted by a wicked crone and locked away in a remote tower for 18 years—during which, she became fascinated with a phenomenon involving ""floating lights"" that would only appear on her birthday. With the aid of the handsome thief Flynn Rider, Rapunzel escaped her tower to learn more about the lights and pursue her dream of exploring the outside world. Rapunzel is loosely based on the protagonist of the classic German fairy tale Rapunzel by the Brothers Grimm. She is the tenth official Disney Princess and is also the first to originate from a fully computer-animated film.",pdb_v9_dump_part2.json,193,766
678,Mike Ehrmantraut,mikeehrmantraut,ISTJ 9w8,9w8,ISTJ - 9w8 - sp/sx - 962 - IS(T) - SLI - FVEL - Phlegmatic-Choleric - Extraversion 25% - Neuroticism 25% - Agreeableness 25% - Conscientiousness 100% - Openness 25% - RCOEN - Lawful Neutral,sp/sx,962,SLI,Phlegmatic-Choleric,FVEL,RCOEN,Lawful Neutral,IS(T),Extraversion 25%,Neuroticism 25%,Conscientiousness 100%,Agreeableness 25%,Openness 25%,"Si, Te, Fi, Ne",2,2,Television,67,Breaking Bad (2008),TRUE,2106,2106,955,5280,878,4006,the nameless,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/ae9ea2ca/profile_images/279ad43d6b014b71bcdc66b5e9bf2631.png,"Michael ""Mike"" Ehrmantraut is a Marine Corps veteran, former Philadelphia police officer, and a calm and calculating career criminal. He worked for both Gustavo Fring and Saul Goodman as a private investigator, head of security, cleaner, fixer, and hitman. He has extensive knowledge of how to operate on both sides of the law without detection. As a former beat cop and true professional, Mike maintains an extensive, up-to-date knowledge of forensic evidence, surveillance equipment, and police procedure. Mike is also well trained and calm in all types of combat situations, once using science and long strategy to take down a large number of hostiles with ease.",pdb_v9_dump_part2.json,413,665
3704,"Jane ""Eleven"" Hopper",eleven,ISFP 6w5,6w5,ISFP - 6w5 - sp/sx - 649 - IS(F) - SEI - FELV - Melancholic [Dominant] - Extraversion 25% - Neuroticism 75% - Agreeableness 75% - Conscientiousness 25% - Openness 50% - RLUAN - Chaotic Good,sp/sx,649,SEI,Melancholic [Dominant],FELV,RLUAN,Chaotic Good,IS(F),Extraversion 25%,Neuroticism 75%,Conscientiousness 25%,Agreeableness 75%,Openness 50%,"Fi, Se, Ni, Te",2,2,Television,456,Stranger Things (2016),TRUE,2216,2216,1091,5277,868,93972,the nameless,#######,#######,TRUE,TRUE,TRUE,TRUE,https://static1.personalitydatabase.net/2/pdb-images-prod/63ca3ae6/profile_images/b024eecfa2b048748dec7885b3c9a06c.png,"Eleven (portrayed by #MillieBobbyBrown) was born with name Jane Ives, daughter of Terry Ives and Andrew Rich (who died in Vietnam), and grew up in Hawkins Lab where she was experimented on by scientists until the beginning of season one, designated with the number ""eleven"". Eleven has telekinetic and telepathic powers, which allow her to control things with her mind and project her consciousness. She escaped the lab and befriended Mike, Dustin, Lucas and Will. Eleven would be taken in by Jim Hopper and take on the new name of Jane Hopper, as his adopted daughter. In the Dungeons and Dragons party, she is the mage.",pdb_v9_dump_part4.json,580,621
